标识符,总分数,指标1,指标2,指标3,指标4,指标5,指标6,指标7,指标8,指标9,指标10,指标11,指标12,指标13,指标14,指标15,指标16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.pangaea.de/10.1594/PANGAEA.908011,83.33,100,100,100,60,100,100,100,100,100,100,100,100,25,100,50,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.48804/V5CGMS,52.08,33.33,78.57,50,40,33.33,50,100,50,100,50,0,100,25,100,50,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.pangaea.de/10.1594/PANGAEA.908011,83.33,100,100,100,60,100,100,100,100,100,100,100,100,25,100,50,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.4225/08/5726ED34D9CD1,18.79,0,28.57,100,78.57,20,25,33.33,28.57,100,50,50,20,78.57,20,78.57,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.25919/5f0d269162071,3.13,0,28.57,78.57,100,100,50,78.57,50,33.33,20,50,78.57,28.57,100,20,33.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.4225/08/5726ED34D9CD1,82.4,50,33.33,100,28.57,20,25,28.57,33.33,28.57,100,50,50,25,100,28.57,33.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.25919/5f0d269162071,50.92,78.57,78.57,78.57,25,78.57,50,100,50,20,33.33,20,25,28.57,20,78.57,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.25919/5dce308ed7efe,27.24,28.57,25,78.57,50,28.57,25,20,28.57,78.57,28.57,100,25,20,25,78.57,78.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.4225/08/5587A7FB8006B,27.1,78.57,28.57,20,50,25,28.57,33.33,50,20,28.57,100,28.57,28.57,78.57,100,28.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.25919/5f081ccf14339,6.43,25,25,25,50,78.57,25,20,78.57,33.33,20,100,100,78.57,25,100,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
